,Winning_Team,number_wins,Game_Date,Home_Team,Away_Team,Home_Score,Away_Score,Home_Victory,Coaching,Affordability,Bang_for_Buck,Behavior
185,CAR,35,2012-11-04,WSH,CAR,13,13,0,52,84,90,44
186,CAR,35,2012-11-26,PHI,CAR,22,22,0,52,84,90,44
187,CAR,35,2012-12-09,CAR,ATL,30,30,1,52,84,90,44
188,CAR,35,2012-12-16,LAC,CAR,7,7,0,52,84,90,44
189,CAR,35,2012-12-23,CAR,OAK,17,17,1,52,84,90,44
190,CAR,35,2012-12-30,NO,CAR,38,38,0,52,84,90,44
191,CAR,35,2013-09-22,CAR,NYG,38,38,1,52,84,90,44
192,CAR,35,2013-10-13,MIN,CAR,10,10,0,52,84,90,44
193,CAR,35,2013-10-20,CAR,LAR,30,30,1,52,84,90,44
194,CAR,35,2013-10-24,TB,CAR,13,13,0,52,84,90,44
195,CAR,35,2013-11-03,CAR,ATL,34,34,1,52,84,90,44
196,CAR,35,2013-11-10,SF,CAR,9,9,0,52,84,90,44
197,CAR,35,2013-11-18,CAR,NE,24,24,1,52,84,90,44
198,CAR,35,2013-11-24,MIA,CAR,16,16,0,52,84,90,44
199,CAR,35,2013-12-01,CAR,TB,27,27,1,52,84,90,44
200,CAR,35,2013-12-15,CAR,NYJ,30,30,1,52,84,90,44
201,CAR,35,2013-12-22,CAR,NO,17,17,1,52,84,90,44
202,CAR,35,2013-12-29,ATL,CAR,20,20,0,52,84,90,44
203,CAR,35,2014-09-07,TB,CAR,14,14,0,52,84,90,44
204,CAR,35,2014-09-14,CAR,DET,24,24,1,52,84,90,44
205,CAR,35,2014-10-05,CAR,CHI,31,31,1,52,84,90,44
206,CAR,35,2014-12-07,NO,CAR,10,10,0,52,84,90,44
207,CAR,35,2014-12-14,CAR,TB,19,19,1,52,84,90,44
208,CAR,35,2014-12-21,CAR,CLE,17,17,1,52,84,90,44
209,CAR,35,2014-12-28,ATL,CAR,3,3,0,52,84,90,44
210,CAR,35,2015-01-03,CAR,ARI,27,27,1,52,84,90,44
211,CHI,43,2010-09-12,CHI,DET,19,19,1,26,6,19,56
212,CHI,43,2010-09-19,DAL,CHI,20,20,0,26,6,19,56
213,CHI,43,2010-09-27,CHI,GB,20,20,1,26,6,19,56
214,CHI,43,2010-10-10,CAR,CHI,6,6,0,26,6,19,56
215,CHI,43,2010-11-07,BUF,CHI,19,19,0,26,6,19,56
216,CHI,43,2010-11-14,CHI,MIN,27,27,1,26,6,19,56
217,CHI,43,2010-11-18,MIA,CHI,0,0,0,26,6,19,56
218,CHI,43,2010-11-28,CHI,PHI,31,31,1,26,6,19,56
219,CHI,43,2010-12-05,DET,CHI,20,20,0,26,6,19,56
220,CHI,43,2010-12-20,MIN,CHI,14,14,0,26,6,19,56
221,CHI,43,2010-12-26,CHI,NYJ,38,38,1,26,6,19,56
222,CHI,43,2011-01-16,CHI,SEA,35,35,1,26,6,19,56
223,CHI,43,2011-09-11,CHI,ATL,30,30,1,26,6,19,56
224,CHI,43,2011-10-02,CHI,CAR,34,34,1,26,6,19,56
225,CHI,43,2011-10-16,CHI,MIN,39,39,1,26,6,19,56
226,CHI,43,2011-10-23,CHI,TB,24,24,1,26,6,19,56
227,CHI,43,2011-11-07,PHI,CHI,24,24,0,26,6,19,56
228,CHI,43,2011-11-13,CHI,DET,37,37,1,26,6,19,56
229,CHI,43,2011-11-20,CHI,LAC,31,31,1,26,6,19,56
230,CHI,43,2012-01-01,MIN,CHI,13,13,0,26,6,19,56
231,CHI,43,2012-09-09,CHI,IND,41,41,1,26,6,19,56
